id,primary_name,count_current_type,deposits_funders_current,funders_current_type
78,Elsevier BV,3488514,TRUE,0.412
297,Springer Science and Business Media LLC,2368246,TRUE,0.273
311,Wiley,1048497,TRUE,0.299
263,Institute of Electrical and Electronics Engineers (IEEE),1034700,TRUE,0.342
301,Informa UK Limited,854469,TRUE,0.186
1968,MDPI AG,731379,TRUE,0.587
286,Oxford University Press (OUP),519328,TRUE,0.186
374,Walter de Gruyter GmbH,347102,TRUE,0.022
276,Ovid Technologies (Wolters Kluwer Health),283413,TRUE,0.037
179,SAGE Publications,274890,TRUE,0.27
1121,JSTOR,268550,FALSE,0
292,Royal Society of Chemistry (RSC),262986,TRUE,0.343
316,American Chemical Society (ACS),244539,TRUE,0.802
1965,Frontiers Media SA,221119,TRUE,0.139
3145,Copernicus GmbH,165576,TRUE,0.111
54368,openRxiv,154747,TRUE,0.232
56,Cambridge University Press (CUP),144519,TRUE,0.047
9060,Egyptian Knowledge Bank,137975,FALSE,0
266,IOP Publishing,137587,TRUE,0.317
1086,American Association for Cancer Research (AACR),129490,TRUE,0.028
10523,Schwabe Verlagsgruppe AG,113236,TRUE,0.001
320,Association for Computing Machinery (ACM),111864,TRUE,0.404
317,AIP Publishing,93619,TRUE,0.411
2984,Bloomsbury Academic,92442,FALSE,0
5303,Electronic Enlightenment Project,92309,FALSE,0
140,Emerald,91644,TRUE,0.06
3821,Nomos Verlag,91170,TRUE,0
194,Georg Thieme Verlag KG,86030,TRUE,0.044
33940,"ResearchHub Technologies, Inc.",82132,FALSE,0
2273,CAIRN.INFO,82044,FALSE,0
189,SPIE-Intl Soc Optical Eng,79693,TRUE,0.023
239,BMJ,74264,TRUE,0.285
30764,Brazilian Journals,72135,FALSE,0
4945,Hans Publishers,66720,FALSE,0
16,American Physical Society (APS),63067,TRUE,0.864
2258,Pensoft Publishers,61868,TRUE,0.022
340,Public Library of Science (PLoS),60185,TRUE,0.623
250,EDP Sciences,57924,TRUE,0.125
4374,"eLife Sciences Publications, Ltd",56832,TRUE,0.105
15934,Center for Open Science,55954,FALSE,0
2399,OpenEdition,55746,TRUE,0.003
11875,Even3,52798,FALSE,0
54080,The Conversation,52544,FALSE,0
2432,IGI Global Scientific Publishing,49162,FALSE,0
23359,Omniscient Pte Ltd,48911,FALSE,0
530,FapUNIFESP (SciELO),48793,TRUE,0.148
219,World Scientific Pub Co Pte Ltd,47666,TRUE,0.273
19162,Comprehensive Publications,47441,FALSE,0
4694,Sciencedomain International,45364,FALSE,0
2918,Edward Elgar Publishing,45136,FALSE,0
137,Pleiades Publishing Ltd,42128,FALSE,0
147,Project MUSE,41181,FALSE,0
285,Optica Publishing Group,39982,TRUE,0.526
29645,Ukrainian Assembly of Doctors of Science in Public Administration,37941,FALSE,0
378,Inderscience Publishers,36818,FALSE,0
233,American Society of Clinical Oncology (ASCO),36357,TRUE,0.596
7763,Worldwide Protein Data Bank,34634,FALSE,0
2560,F1000 Research Ltd,34376,TRUE,0.214
17262,Qeios Ltd,33868,FALSE,0
965,Bentham Science Publishers Ltd.,32534,TRUE,0.128
175,The Royal Society,30926,TRUE,0.181
14667,Universitas Pahlawan Tuanku Tambusai,29953,FALSE,0
165,Bristol University Press,29887,TRUE,0.02
15,American Psychological Association (APA),28710,TRUE,0.306
1010,JMIR Publications Inc.,28491,FALSE,0
1574,Atlantis Press SARL,28309,TRUE,0
27665,RSIS International,27548,FALSE,0
1643,Association for Computational Linguistics (ACL),27286,FALSE,0
23064,International Journal for Multidisciplinary Research (IJFMR),26830,FALSE,0
32523,EWA Publishing,26066,FALSE,0
33635,Edtech Publishers (OPC) Private Limited,25983,FALSE,0
221,American Association for the Advancement of Science (AAAS),22869,TRUE,0.276
13,American Geophysical Union (AGU),22813,TRUE,0.625
5471,Transcript Verlag,22667,FALSE,0
34829,Instituto Multiprofissional de Ensino,22021,FALSE,0
32412,Darcy & Roy Press Co. Ltd.,21446,FALSE,0
234,American Society of Hematology,21220,FALSE,0
265,Institution of Engineering and Technology (IET),21130,TRUE,0.188
2751,"Scientific Research Publishing, Inc.",20956,FALSE,0
28402,VDI Verlag GmbH,20901,FALSE,0
10,American Medical Association (AMA),20879,FALSE,0
7834,United Nations Publications,20610,FALSE,0
960,Office of Scientific and Technical Information (OSTI),20474,TRUE,0.721
9531,AkiNik Publications,20418,FALSE,0
34671,Seven Events,20379,FALSE,0
12033,GSC Online Press,19982,FALSE,0
30,American Society of Civil Engineers (ASCE),19488,FALSE,0
11853,Universitas Mataram,18881,FALSE,0
33,ASME International,18536,TRUE,0.165
1387,American Institute of Aeronautics and Astronautics (AIAA),18529,TRUE,0.141
30593,Science Research Society,18204,FALSE,0
8611,AME Publishing Company,18102,FALSE,0
235,American Society for Microbiology,17479,TRUE,0.699
281,MIT Press,17112,TRUE,0.087
77,The Electrochemical Society,17007,TRUE,0.144
2208,American Astronomical Society,16973,TRUE,0.675
