id,primary_name,count_current_type,deposits_funders_current,funders_current_type
297,Springer Science and Business Media LLC,563367,TRUE,0.005074844639462375
286,Oxford University Press (OUP),348399,TRUE,3.702651270526035e-4
301,Informa UK Limited,328650,TRUE,0
1121,JSTOR,259663,FALSE,0
374,Walter de Gruyter GmbH,167769,TRUE,0
78,Elsevier BV,111500,TRUE,0.01234080717488789
3821,Nomos Verlag,64375,TRUE,1.087378640776699e-4
56,Cambridge University Press (CUP),37507,TRUE,0
2918,Edward Elgar Publishing,30520,FALSE,0
2432,IGI Global,26996,FALSE,0
1574,Atlantis Press SARL,25579,TRUE,0.007818913952851949
50,Brill,25447,TRUE,0
165,Bristol University Press,19432,TRUE,0
16089,Brill Deutschland GmbH,16419,TRUE,0
5471,Transcript Verlag,15826,FALSE,0
7834,United Nations Publications,15118,FALSE,0
2399,OpenEdition,13532,TRUE,0.005911912503694945
219,World Scientific Pub Co Pte Ltd,12026,TRUE,0
3774,IntechOpen,11427,FALSE,0
140,Emerald,11096,TRUE,0
6055,Verlag C.H.Beck oHG,10734,FALSE,0
2273,CAIRN.INFO,10396,FALSE,0
11875,Even3,9890,FALSE,0
9818,Atena Editora Edição de Livros Ltda,9635,FALSE,0
4230,Manchester University Press,8718,FALSE,0
1963,Organisation for Economic Co-Operation and Development (OECD),8320,FALSE,0
7437,IOS Press,8240,FALSE,0
408,University of California Press,7531,TRUE,0
4694,Sciencedomain International,7516,FALSE,0
5164,Yale University Press,7184,FALSE,0
4359,Columbia University Press,6965,FALSE,0
37380,Selfypage Developers pvt ltd,6292,FALSE,0
194,Georg Thieme Verlag KG,5997,TRUE,0
965,Bentham Science Publishers Ltd.,5941,TRUE,0
281,MIT Press,5732,TRUE,0
2984,Bloomsbury Academic,5605,FALSE,0
19460,Haufe-Lexware GmbH and Co. KG,5577,FALSE,0
24862,Editora Cientifica Digital,5303,FALSE,0
7832,NYU Press,5227,FALSE,0
20809,Rutgers University Press,4616,FALSE,0
34671,Seven Events,4604,FALSE,0
73,Duke University Press,4467,TRUE,0
7597,Brepols Publishers NV,3813,FALSE,0
1697,Carl Hanser Verlag,3773,FALSE,0
27363,AYA Editora,3651,FALSE,0
4802,Verlag Dr. Otto Schmidt,3531,FALSE,0
38456,Editora Pasteur,3484,FALSE,0
1696,University of Toronto Press Inc. (UTPress),3462,FALSE,0
4434,Cornell University Press,3400,FALSE,0
1757,John Benjamins Publishing Company,3124,TRUE,0
12323,World Trade Organization,3069,FALSE,0
1931,Edinburgh University Press,2893,FALSE,0
28402,VDI Verlag GmbH,2819,FALSE,0
16537,Pimenta Cultural,2780,FALSE,0
266,IOP Publishing,2626,TRUE,0
37787,Özgür Yayınları,2612,FALSE,0
250,EDP Sciences,2605,TRUE,0
