member,dois,has_funder_name,has_funder_fundref,has_funder_asserted_publisher,has_funder_asserted_crossref,pc_has_funder_name,pc_has_funder_fundref,pc_has_funder_asserted_publisher,pc_has_funder_asserted_crossref
4281,6073,0,0,0,0,0.0,0.0,0.0,0.0
7729,6070,0,0,0,0,0.0,0.0,0.0,0.0
1167,6027,706,652,579,150,11.7,10.8,9.6,2.5
1086,5930,4488,3966,3788,531,75.7,66.9,63.9,9.0
2258,5858,948,948,948,0,16.2,16.2,16.2,0.0
2560,5830,3844,3208,2697,1081,65.9,55.0,46.3,18.5
4858,5805,0,0,0,0,0.0,0.0,0.0,0.0
2811,5746,0,0,0,0,0.0,0.0,0.0,0.0
3979,5731,0,0,0,0,0.0,0.0,0.0,0.0
3061,5671,0,0,0,0,0.0,0.0,0.0,0.0
21849,5652,0,0,0,0,0.0,0.0,0.0,0.0
30674,5625,0,0,0,0,0.0,0.0,0.0,0.0
9405,5608,0,0,0,0,0.0,0.0,0.0,0.0
7024,5598,0,0,0,0,0.0,0.0,0.0,0.0
24,5586,4580,3952,3633,703,82.0,70.7,65.0,12.6
1861,5542,2,2,2,0,0.0,0.0,0.0,0.0
155,5532,4,2,0,2,0.1,0.0,0.0,0.0
4443,5356,4223,2219,0,2219,78.8,41.4,0.0,41.4
3821,5325,0,0,0,0,0.0,0.0,0.0,0.0
67,5301,0,0,0,0,0.0,0.0,0.0,0.0
8420,5252,0,0,0,0,0.0,0.0,0.0,0.0
3689,5248,0,0,0,0,0.0,0.0,0.0,0.0
6743,5230,0,0,0,0,0.0,0.0,0.0,0.0
73,5074,20,13,0,13,0.4,0.3,0.0,0.3
329,5056,2297,1963,1706,372,45.4,38.8,33.7,7.4
3486,5024,0,0,0,0,0.0,0.0,0.0,0.0
6225,5014,5,5,5,0,0.1,0.1,0.1,0.0
12,4985,2085,1811,1449,574,41.8,36.3,29.1,11.5
11780,4949,0,0,0,0,0.0,0.0,0.0,0.0
24566,4906,0,0,0,0,0.0,0.0,0.0,0.0
3169,4805,0,0,0,0,0.0,0.0,0.0,0.0
3111,4790,0,0,0,0,0.0,0.0,0.0,0.0
170,4786,140,108,106,2,2.9,2.3,2.2,0.0
4137,4782,0,0,0,0,0.0,0.0,0.0,0.0
9467,4725,0,0,0,0,0.0,0.0,0.0,0.0
408,4717,0,0,0,0,0.0,0.0,0.0,0.0
231,4708,1217,1104,939,251,25.8,23.4,19.9,5.3
1057,4663,1325,930,766,220,28.4,19.9,16.4,4.7
417,4636,0,0,0,0,0.0,0.0,0.0,0.0
4169,4629,0,0,0,0,0.0,0.0,0.0,0.0
4374,4575,4204,4141,4123,338,91.9,90.5,90.1,7.4
358,4567,238,71,1,70,5.2,1.6,0.0,1.5
3884,4547,0,0,0,0,0.0,0.0,0.0,0.0
281,4532,430,390,319,111,9.5,8.6,7.0,2.4
3948,4518,0,0,0,0,0.0,0.0,0.0,0.0
10545,4516,0,0,0,0,0.0,0.0,0.0,0.0
27,4512,0,0,0,0,0.0,0.0,0.0,0.0
22072,4479,0,0,0,0,0.0,0.0,0.0,0.0
18183,4466,0,0,0,0,0.0,0.0,0.0,0.0
2914,4398,0,0,0,0,0.0,0.0,0.0,0.0
10499,4382,2,0,0,0,0.0,0.0,0.0,0.0
18870,4344,1,1,1,0,0.0,0.0,0.0,0.0
237,4335,3136,2887,1253,1873,72.3,66.6,28.9,43.2
7172,4307,0,0,0,0,0.0,0.0,0.0,0.0
5117,4290,0,0,0,0,0.0,0.0,0.0,0.0
1665,4265,2263,1340,0,1340,53.1,31.4,0.0,31.4
10462,4193,0,0,0,0,0.0,0.0,0.0,0.0
5093,4192,0,0,0,0,0.0,0.0,0.0,0.0
945,4174,2052,1525,1260,413,49.2,36.5,30.2,9.9
7892,4130,0,0,0,0,0.0,0.0,0.0,0.0
10894,4061,0,0,0,0,0.0,0.0,0.0,0.0
100,4025,0,0,0,0,0.0,0.0,0.0,0.0
3528,4017,0,0,0,0,0.0,0.0,0.0,0.0
30507,3995,0,0,0,0,0.0,0.0,0.0,0.0
3287,3994,2,1,1,0,0.1,0.0,0.0,0.0
23521,3991,0,0,0,0,0.0,0.0,0.0,0.0
101,3988,4,2,2,0,0.1,0.1,0.1,0.0
