id,primary_name,count_current_type,deposits_funders_current,funders_current_type
78,Elsevier BV,2291584,TRUE,0.3244899597832765
297,Springer Science and Business Media LLC,1088356,TRUE,0.407978639342274
1968,MDPI AG,657419,TRUE,0.6353756128131374
311,Wiley,618733,TRUE,0.3729379231429389
301,Informa UK Limited,338520,TRUE,0.3993205719012171
1965,Frontiers Media SA,244115,TRUE,0.3095754050345124
263,Institute of Electrical and Electronics Engineers (IEEE),227326,TRUE,0.6978392264853118
286,Oxford University Press (OUP),216862,TRUE,0.3326908356466324
276,Ovid Technologies (Wolters Kluwer Health),190702,TRUE,0.01547440509276253
179,SAGE Publications,184130,TRUE,0.2980720143376962
316,American Chemical Society (ACS),167262,TRUE,0.8402924752783059
266,IOP Publishing,108891,TRUE,0.2830169619160445
292,Royal Society of Chemistry (RSC),100105,TRUE,0.7862744118675391
9060,Egyptian Knowledge Bank,98612,TRUE,7.09852756256845e-5
98,Hindawi Limited,78404,TRUE,0.4716723636549156
56,Cambridge University Press (CUP),69197,TRUE,0.108400653207509
374,Walter de Gruyter GmbH,64463,TRUE,0.09078075795417526
2581,Medknow,53262,TRUE,9.387555855957344e-5
194,Georg Thieme Verlag KG,48796,TRUE,0.07521108287564554
16,American Physical Society (APS),48623,TRUE,0.9045719104127676
239,BMJ,47822,TRUE,0.373572832587512
340,Public Library of Science (PLoS),47253,TRUE,0.6782003259052335
2273,CAIRN,46036,FALSE,0
530,FapUNIFESP (SciELO),43926,FALSE,0
140,Emerald,43651,TRUE,3.894527044053974e-4
250,EDP Sciences,42895,TRUE,0.0919920736682597
4945,Hans Publishers,37123,FALSE,0
137,Pleiades Publishing Ltd,36714,FALSE,0
378,Inderscience Publishers,36682,FALSE,0
317,AIP Publishing,36529,TRUE,0.7589312600947193
30764,South Florida Publishing LLC,36382,FALSE,0
147,Project MUSE,35552,TRUE,1.687668766876688e-4
17914,Publishing House Helvetica (Publications),33866,FALSE,0
1086,American Association for Cancer Research (AACR),33099,TRUE,0.1131756246412278
2399,OpenEdition,31232,TRUE,0.00115266393442623
219,World Scientific Pub Co Pte Ltd,24517,TRUE,0.4315780886731656
965,Bentham Science Publishers Ltd.,24012,TRUE,0.2305513909711811
23359,Omniscient Pte Ltd,23147,FALSE,0
4694,Sciencedomain International,22516,FALSE,0
278,Mary Ann Liebert Inc,22187,FALSE,0
285,Optica Publishing Group,22142,TRUE,0.8474844187516936
17106,The Russian Academy of Sciences,21083,FALSE,0
233,American Society of Clinical Oncology (ASCO),20284,TRUE,0.7722835732597121
15,American Psychological Association (APA),19826,TRUE,0.3824271159084031
10,American Medical Association (AMA),18916,FALSE,0
2751,"Scientific Research Publishing, Inc.",18422,FALSE,0
234,American Society of Hematology,18033,FALSE,0
13,American Geophysical Union (AGU),17855,TRUE,0.5864463735648278
50,Brill,17115,TRUE,0.04563248612328367
32412,Darcy & Roy Press Co. Ltd.,17099,FALSE,0
77,The Electrochemical Society,16973,TRUE,0.1673834914275614
7437,IOS Press,16068,FALSE,0
235,American Society for Microbiology,15834,TRUE,0.7944297082228117
320,Association for Computing Machinery (ACM),14699,TRUE,0.461459963262807
8611,AME Publishing Company,14465,FALSE,0
28402,VDI Verlag GmbH,13963,FALSE,0
5130,Mark Allen Group,13728,FALSE,0
127,S. Karger AG,13585,FALSE,0
19099,"Research, Society and Development",13534,FALSE,0
221,American Association for the Advancement of Science (AAAS),13513,TRUE,0.06179234810922815
3145,Copernicus GmbH,13231,TRUE,0.5549089260071045
2208,American Astronomical Society,13009,TRUE,0.6294872780382812
2321,American Institute of Mathematical Sciences (AIMS),12772,FALSE,0
9476,International Journal for Research in Applied Science and Engineering Technology (IJRASET),12253,FALSE,0
200,University of Chicago Press,12251,TRUE,5.713819280058772e-4
32523,EWA Publishing,11796,FALSE,0
30,American Society of Civil Engineers (ASCE),10964,FALSE,0
7770,Knowledge E DMCC,10893,FALSE,0
