id,primary_name,count_current_type,deposits_funders_current,funders_current_type
1086,American Association for Cancer Research (AACR),256795,TRUE,0
8761,Research Square Platform LLC,172567,TRUE,0.006652488598631256
78,Elsevier BV,139059,TRUE,0
246,Cold Spring Harbor Laboratory,104466,TRUE,0
15934,Center for Open Science,57409,FALSE,0
3145,Copernicus GmbH,46840,TRUE,0.1415029888983775
1968,MDPI AG,31851,TRUE,0
9829,"Authorea, Inc.",26175,FALSE,0
316,American Chemical Society (ACS),16276,TRUE,0.3769968051118211
263,Institute of Electrical and Electronics Engineers (IEEE),13425,TRUE,0
7078,"ZappyLab, Inc.",10774,FALSE,0
1010,JMIR Publications Inc.,9751,FALSE,0
18300,Ryerson University Library and Archives,9320,FALSE,0
22980,Morressier GmbH,8006,FALSE,0
311,Wiley,3613,TRUE,0.3844450595073346
4374,"eLife Sciences Publications, Ltd",3141,TRUE,0
29705,California Digital Library (CDL),3051,FALSE,0
8674,Universitas Muhammadiyah Sidoarjo,2938,TRUE,0
31795,Front Matter,2623,TRUE,0.003049942813572246
257,Geological Society of America,2406,FALSE,0
17262,Qeios Ltd,2147,FALSE,0
1167,American Diabetes Association,2129,TRUE,0
285,Optica Publishing Group,1738,TRUE,0
56,Cambridge University Press (CUP),1528,TRUE,0.05693717277486911
530,FapUNIFESP (SciELO),1430,FALSE,0
26239,Applied Energy Innovation Institute (AEii),1171,FALSE,0
33966,Open Engineering Inc,1106,FALSE,0
30676,Cassyni,1101,TRUE,0.153496821071753
5403,ScienceOpen,1074,TRUE,0.04376163873370577
179,SAGE Publications,1041,TRUE,0
345,Microbiology Society,636,TRUE,0.4449685534591195
37285,Polygence,594,FALSE,0
25732,Universitatsbibliothek Bamberg,574,TRUE,0
11875,Even3,531,FALSE,0
10196,NPG Publishing,375,FALSE,0
2258,Pensoft Publishers,369,TRUE,0
14,American Mathematical Society (AMS),304,TRUE,0.5460526315789473
237,The Company of Biologists,268,TRUE,0
8634,Russian Research Anti-Plague Institute Microbe,242,FALSE,0
