id,primary_name,count_current_type,deposits_funders_current,funders_current_type
78,Elsevier BV,2379696,TRUE,0.281
286,Oxford University Press (OUP),2023370,TRUE,0.033
297,Springer Science and Business Media LLC,1619317,TRUE,0.254
311,Wiley,733819,TRUE,0.291
263,Institute of Electrical and Electronics Engineers (IEEE),683811,TRUE,0.372
1968,MDPI AG,665398,TRUE,0.592
301,Informa UK Limited,631861,TRUE,0.197
7566,ENCODE Data Coordination Center,448226,FALSE,0
1086,American Association for Cancer Research (AACR),281649,TRUE,0.012
1121,JSTOR,278150,FALSE,0
374,Walter de Gruyter GmbH,259918,TRUE,0.02
1965,Frontiers Media SA,239069,TRUE,0.309
179,SAGE Publications,186466,TRUE,0.272
276,Ovid Technologies (Wolters Kluwer Health),176070,TRUE,0.015
8761,Research Square Platform LLC,172567,TRUE,0.007
316,American Chemical Society (ACS),171288,TRUE,0.789
56,Cambridge University Press (CUP),135585,TRUE,0.052
266,IOP Publishing,107170,TRUE,0.263
246,Cold Spring Harbor Laboratory,106106,TRUE,0.007
292,Royal Society of Chemistry (RSC),102500,TRUE,0.715
3145,Copernicus GmbH,102091,TRUE,0.131
9060,Egyptian Knowledge Bank,90243,TRUE,0
242,CABI Publishing,87711,FALSE,0
317,AIP Publishing,80065,TRUE,0.313
5303,Electronic Enlightenment Project,79939,FALSE,0
98,Hindawi Limited,78405,TRUE,0.46
320,Association for Computing Machinery (ACM),70364,TRUE,0.416
194,Georg Thieme Verlag KG,70322,TRUE,0.048
239,BMJ,68708,TRUE,0.241
3821,Nomos Verlag,67922,TRUE,0
140,Emerald,65510,TRUE,0
2984,Bloomsbury Academic,60292,FALSE,0
15934,Center for Open Science,57409,FALSE,0
189,SPIE-Intl Soc Optical Eng,55332,TRUE,0.005
2273,CAIRN,51752,FALSE,0
2581,Medknow,49479,TRUE,0
1963,Organisation for Economic Co-Operation and Development (OECD),47851,FALSE,0
2399,OpenEdition,45919,TRUE,0.003
16,American Physical Society (APS),45249,TRUE,0.9
530,FapUNIFESP (SciELO),44989,FALSE,0
17262,Qeios Ltd,44435,FALSE,0
340,Public Library of Science (PLoS),43492,TRUE,0.679
50,Brill,42599,TRUE,0.017
250,EDP Sciences,41468,TRUE,0.083
219,World Scientific Pub Co Pte Ltd,41140,TRUE,0.237
2258,Pensoft Publishers,38892,TRUE,0.025
378,Inderscience Publishers,34404,FALSE,0
285,Optica Publishing Group,34025,TRUE,0.512
147,Project MUSE,33791,TRUE,0
30764,South Florida Publishing LLC,33681,FALSE,0
4945,Hans Publishers,33048,FALSE,0
2432,IGI Global,32891,FALSE,0
137,Pleiades Publishing Ltd,32511,FALSE,0
17914,Publishing House Helvetica (Publications),32180,FALSE,0
7763,Worldwide Protein Data Bank,31208,FALSE,0
1574,Atlantis Press SARL,31069,TRUE,0.054
11875,Even3,30422,FALSE,0
4694,Sciencedomain International,28930,FALSE,0
2918,Edward Elgar Publishing,28359,FALSE,0
965,Bentham Science Publishers Ltd.,28347,TRUE,0.183
16089,Brill Deutschland GmbH,26195,TRUE,0.003
9829,"Authorea, Inc.",26175,FALSE,0
165,Bristol University Press,26066,TRUE,0.005
