id,primary_name,count_current_type,deposits_funders_current,funders_current_type
78,Elsevier BV,2983574,TRUE,0.302
286,Oxford University Press (OUP),2145503,TRUE,0.038
297,Springer Science and Business Media LLC,2026603,TRUE,0.256
311,Wiley,904745,TRUE,0.306
263,Institute of Electrical and Electronics Engineers (IEEE),863268,TRUE,0.352
301,Informa UK Limited,765629,TRUE,0.183
1968,MDPI AG,707815,TRUE,0.606
374,Walter de Gruyter GmbH,354507,TRUE,0.022
1086,American Association for Cancer Research (AACR),351902,TRUE,0.01
1121,JSTOR,310891,FALSE,0
276,Ovid Technologies (Wolters Kluwer Health),228808,TRUE,0.025
179,SAGE Publications,221366,TRUE,0.27
316,American Chemical Society (ACS),211521,TRUE,0.804
1965,Frontiers Media SA,201756,TRUE,0.189
292,Royal Society of Chemistry (RSC),168677,TRUE,0.501
3145,Copernicus GmbH,142645,TRUE,0.107
56,Cambridge University Press (CUP),139302,TRUE,0.048
246,Cold Spring Harbor Laboratory,133455,TRUE,0.03
266,IOP Publishing,124780,TRUE,0.291
9060,Egyptian Knowledge Bank,113297,TRUE,0
10523,Schwabe Verlagsgruppe AG,113225,TRUE,0
317,AIP Publishing,100571,TRUE,0.334
3821,Nomos Verlag,98870,TRUE,0
320,Association for Computing Machinery (ACM),93231,TRUE,0.409
5303,Electronic Enlightenment Project,90580,FALSE,0
194,Georg Thieme Verlag KG,82198,TRUE,0.045
140,Emerald,79653,FALSE,0
189,SPIE-Intl Soc Optical Eng,72128,TRUE,0.005
2273,CAIRN.INFO,70823,FALSE,0
8761,Research Square Platform LLC,70442,FALSE,0
239,BMJ,69551,TRUE,0.263
30764,Brazilian Journals,62367,FALSE,0
2984,Bloomsbury Academic,62329,FALSE,0
250,EDP Sciences,61581,TRUE,0.089
17262,Qeios Ltd,59560,FALSE,0
15934,Center for Open Science,56422,FALSE,0
16,American Physical Society (APS),54771,TRUE,0.88
4945,Hans Publishers,54036,FALSE,0
340,Public Library of Science (PLoS),52630,TRUE,0.647
2399,OpenEdition,51598,TRUE,0.003
2258,Pensoft Publishers,50024,TRUE,0.022
4374,"eLife Sciences Publications, Ltd",49100,TRUE,0.113
530,FapUNIFESP (SciELO),46855,TRUE,0.034
11875,Even3,46326,FALSE,0
17914,Publishing House Helvetica (Publications),45881,FALSE,0
219,World Scientific Pub Co Pte Ltd,45770,TRUE,0.26
2581,Medknow,41705,TRUE,0
137,Pleiades Publishing Ltd,40085,FALSE,0
2432,IGI Global,39881,FALSE,0
147,Project MUSE,39797,TRUE,0
4694,Sciencedomain International,39413,FALSE,0
285,Optica Publishing Group,37657,TRUE,0.521
2918,Edward Elgar Publishing,37460,FALSE,0
378,Inderscience Publishers,36434,FALSE,0
23359,Omniscient Pte Ltd,36333,FALSE,0
