id,primary_name,count_current_type,deposits_funders_current,funders_current_type
78,Elsevier BV,2963640,TRUE,0.3878730210146981
297,Springer Science and Business Media LLC,1479827,TRUE,0.4198923252515328
311,Wiley,845824,TRUE,0.3919657044491525
1968,MDPI AG,750407,TRUE,0.6919764874261567
301,Informa UK Limited,437205,TRUE,0.3875962077286399
263,Institute of Electrical and Electronics Engineers (IEEE),302426,TRUE,0.7047443010852242
286,Oxford University Press (OUP),288455,TRUE,0.3363678910055295
276,Ovid Technologies (Wolters Kluwer Health),279961,TRUE,0.02804676365636642
179,SAGE Publications,249514,TRUE,0.297305962791667
1965,Frontiers Media SA,236626,TRUE,0.1836188753560471
316,American Chemical Society (ACS),228311,TRUE,0.8631515783295592
9060,Egyptian Knowledge Bank,141173,TRUE,7.083507469558627e-6
266,IOP Publishing,133927,TRUE,0.3231013910563217
292,Royal Society of Chemistry (RSC),129075,TRUE,0.7741623087352315
374,Walter de Gruyter GmbH,109781,TRUE,0.08396717100408996
56,Cambridge University Press (CUP),82379,TRUE,0.09319122591922699
30764,Brazilian Journals,72719,FALSE,0
2273,CAIRN.INFO,70145,FALSE,0
194,Georg Thieme Verlag KG,66256,TRUE,0.06544312967882154
4945,Hans Publishers,65910,FALSE,0
16,American Physical Society (APS),64162,TRUE,0.9005486113275771
340,Public Library of Science (PLoS),64028,TRUE,0.6424376835134629
140,Emerald,63467,TRUE,0.02333496147604267
250,EDP Sciences,62802,TRUE,0.1064456545969874
17914,Publishing House Helvetica (Publications),54126,FALSE,0
317,AIP Publishing,53540,TRUE,0.7642883825177437
239,BMJ,52887,TRUE,0.4205003119859323
530,FapUNIFESP (SciELO),51982,TRUE,0.06881228117425263
23359,Omniscient Pte Ltd,50208,FALSE,0
137,Pleiades Publishing Ltd,47843,FALSE,0
147,Project MUSE,43607,TRUE,2.293209805765129e-5
378,Inderscience Publishers,42180,FALSE,0
1086,American Association for Cancer Research (AACR),40399,TRUE,0.1047055620188619
2581,Medknow,39814,TRUE,5.023358617571708e-5
2399,OpenEdition,38295,TRUE,9.400705052878966e-4
4694,Sciencedomain International,37654,FALSE,0
219,World Scientific Pub Co Pte Ltd,31741,TRUE,0.4493557228820768
233,American Society of Clinical Oncology (ASCO),30144,TRUE,0.6689556794055203
32523,EWA Publishing,28999,FALSE,0
19162,Comprehensive Publications,28292,FALSE,0
32412,Darcy & Roy Press Co. Ltd.,28182,FALSE,0
285,Optica Publishing Group,27398,TRUE,0.8520694941236587
965,Bentham Science Publishers Ltd.,27298,TRUE,0.2103450802256576
29645,Ukrainian Assembly of Doctors of Science in Public Administration,27267,FALSE,0
23064,International Journal for Multidisciplinary Research (IJFMR),24360,FALSE,0
15,American Psychological Association (APA),24121,TRUE,0.3938891422412006
2751,"Scientific Research Publishing, Inc.",23373,FALSE,0
10,American Medical Association (AMA),23369,FALSE,0
13,American Geophysical Union (AGU),23290,TRUE,0.6267067410905968
278,Mary Ann Liebert Inc,22197,TRUE,4.505113303599586e-5
265,Institution of Engineering and Technology (IET),21586,TRUE,0.2085611044195312
320,Association for Computing Machinery (ACM),21381,TRUE,0.462092512043403
17106,The Russian Academy of Sciences,21178,FALSE,0
234,American Society of Hematology,20823,FALSE,0
14667,Universitas Pahlawan Tuanku Tambusai,20768,FALSE,0
77,The Electrochemical Society,20411,TRUE,0.1452648081916614
12033,GSC Online Press,19586,FALSE,0
235,American Society for Microbiology,19040,TRUE,0.7367121848739496
30593,Science Research Society,18437,FALSE,0
8611,AME Publishing Company,18194,FALSE,0
221,American Association for the Advancement of Science (AAAS),18026,TRUE,0.09414179518473316
11853,Universitas Mataram,17763,FALSE,0
28402,VDI Verlag GmbH,17612,FALSE,0
27665,RSIS International,17436,FALSE,0
2208,American Astronomical Society,17366,TRUE,0.6626166071634229
34520,Politeknik Pratama Purwokerto,17223,FALSE,0
33635,Edtech Publishers (OPC) Private Limited,16643,FALSE,0
127,S. Karger AG,16600,FALSE,0
3145,Copernicus GmbH,16459,TRUE,0.5558660915000911
5130,Mark Allen Group,16441,FALSE,0
